Username,Start Time,Duration,Auth,Bytes Total,Error
Christopher.B,2022.03.29 09:10:45 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Zachary.W,2022.03.29 09:34:43 EDT,4532,1,339052516,
Ryan.D,2022.03.29 10:00:14 EDT,19796,1,5077416652,
Walter.M,2022.03.29 10:34:36 EDT,25149,1,4518923214,
Joseph.B,2022.03.29 11:08:28 EDT,28277,1,5701802557,
Jeffrey.U,2022.03.29 11:42:16 EDT,5180,1,1134943180,
Joyce.Y,2022.03.29 12:04:10 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Roy.V,2022.03.29 12:42:48 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Russell.I,2022.03.29 12:56:05 EDT,14644,1,3561742968,
Diane.M,2022.03.29 13:09:42 EDT,15951,1,400067031,
Jeffrey.U,2022.03.29 13:46:00 EDT,17742,1,4179482940,
Carolyn.W,2022.03.29 14:01:41 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Amy.G,2022.03.29 14:22:59 EDT,10401,1,675108108,
Noah.A,2022.03.29 14:34:37 EDT,9119,1,1763176888,
Joyce.Y,2022.03.29 14:48:52 EDT,14482,1,843446162,
Maria.B,2022.03.29 15:07:01 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Brandon.L,2022.03.29 15:25:05 EDT,1985,1,547073940,
Nancy.E,2022.03.29 16:02:23 EDT,1403,1,278760667,
Carolyn.W,2022.03.29 16:16:58 EDT,2558,1,174992780,
Emma.F,2022.03.29 16:28:25 EDT,,0,,user not found
Michelle.T,2022.03.29 16:47:58 EDT,2643,1,45504531,
Roy.V,2022.03.29 17:05:33 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Frances.P,2022.03.29 17:39:07 EDT,5297,1,187153604,
Carolyn.W,2022.03.29 18:02:39 EDT,2498,1,382526234,
Vincent.W,2022.03.29 18:35:53 EDT,4048,1,461767504,
Patrick.K,2022.03.30 07:16:02 EDT,20075,1,5372190450,
Vincent.W,2022.03.30 07:51:18 EDT,23710,1,6385506070,
Charles.O,2022.03.30 08:12:37 EDT,2241,1,394528050,
Amy.G,2022.03.30 08:43:06 EDT,28060,1,2468831040,
Brandon.L,2022.03.30 08:57:43 EDT,2300,1,437315100,
Emma.I,2022.03.30 09:27:03 EDT,10316,1,1301590352,
Carolyn.W,2022.03.30 09:53:06 EDT,32248,1,3738123664,
Christopher.B,2022.03.30 10:26:01 EDT,6254,1,479075162,
Frances.P,2022.03.30 11:01:56 EDT,20300,1,3042097100,
Maria.B,2022.03.30 11:13:01 EDT,27525,1,4772587275,
Roy.V,2022.03.30 11:25:43 EDT,1552,1,87782672,
Diane.M,2022.03.30 12:05:09 EDT,5707,1,578929494,
Dennis.X,2022.03.30 12:37:05 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Roy.V,2022.03.30 12:47:31 EDT,13161,1,3192898083,
Mason.B,2022.03.30 13:12:11 EDT,,0,,user not found
Jeffrey.U,2022.03.30 13:24:23 EDT,5057,1,380812328,
Patrick.K,2022.03.30 13:48:44 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Keith.E,2022.03.30 14:11:39 EDT,12844,1,2955417244,
Nancy.E,2022.03.30 14:33:25 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Joyce.Y,2022.03.30 15:05:26 EDT,6937,1,1379568127,
Emma.I,2022.03.30 15:40:38 EDT,2704,1,368998656,
Walter.M,2022.03.30 16:01:30 EDT,2778,1,532962078,
Noah.A,2022.03.30 16:28:10 EDT,802,1,205845330,
Nancy.E,2022.03.30 16:58:00 EDT,3905,1,642192870,
Joseph.B,2022.03.30 17:26:55 EDT,4292,1,709034108,
Kelly.N,2022.03.30 17:57:31 EDT,,0,,user not found
Christopher.B,2022.03.30 18:25:02 EDT,2326,1,446645498,
Joyce.Y,2022.03.30 18:58:37 EDT,3708,1,989149788,
Carolyn.W,2022.03.31 07:10:23 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Amy.G,2022.03.31 07:25:09 EDT,4135,1,1118025435,
Noah.A,2022.03.31 07:51:53 EDT,32752,1,7778763760,
Michelle.T,2022.03.31 08:20:40 EDT,25769,1,2151505348,
Vincent.W,2022.03.31 08:53:15 EDT,15811,1,304804458,
Rebecca.L,2022.03.31 10:01:29 EDT,19809,1,554255820,
Christopher.B,2022.03.31 10:25:56 EDT,19362,1,2680901244,
Patrick.K,2022.03.31 10:47:50 EDT,9284,1,1337759412,
Olivia.I,2022.03.31 11:16:52 EDT,25104,1,2188566720,
Rebecca.L,2022.03.31 11:33:20 EDT,20797,1,3111002433,
Ryan.D,2022.03.31 11:59:27 EDT,8273,1,989607987,
Dennis.X,2022.03.31 12:29:13 EDT,7913,1,1388043069,
Amy.G,2022.03.31 13:08:32 EDT,9885,1,2374811940,
Joyce.Y,2022.03.31 13:38:21 EDT,16553,1,1705389378,
Joseph.B,2022.03.31 14:01:02 EDT,2586,1,332699244,
Keith.E,2022.03.31 14:21:14 EDT,6551,1,1363878894,
Patrick.K,2022.03.31 14:31:15 EDT,10800,1,1914980400,
Frances.P,2022.03.31 14:47:33 EDT,9607,1,125601918,
Walter.M,2022.03.31 15:24:22 EDT,1264,1,247366064,
Roy.V,2022.03.31 15:51:35 EDT,2294,1,284219718,
Zachary.W,2022.03.31 16:26:21 EDT,4091,1,472616866,
Joseph.B,2022.03.31 16:48:04 EDT,7096,1,997725984,
Nancy.E,2022.03.31 17:25:46 EDT,4651,1,505028835,
Dennis.X,2022.03.31 17:37:40 EDT,4697,1,110027225,
Vincent.W,2022.03.31 18:01:31 EDT,6366,1,1366283652,
Amy.G,2022.03.31 18:38:42 EDT,2486,1,431470160,
Joyce.Y,2022.03.31 18:52:31 EDT,6888,1,770085288,
Joseph.B,2022.04.01 07:08:12 EDT,22340,1,3766010180,
Olivia.I,2022.04.01 07:29:05 EDT,26717,1,1426474064,
Diane.M,2022.04.01 07:50:36 EDT,7388,1,68420268,
Michelle.T,2022.04.01 08:17:16 EDT,10566,1,1776767994,
Amy.G,2022.04.01 08:27:17 EDT,14333,1,1677448322,
Frances.P,2022.04.01 08:44:18 EDT,15975,1,3765227625,
Russell.I,2022.04.01 08:58:04 EDT,1786,1,411285438,
Nancy.E,2022.04.01 09:15:45 EDT,7059,1,1755142701,
Brandon.L,2022.04.01 09:48:32 EDT,11622,1,1277118336,
Zachary.W,2022.04.01 10:04:10 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Emma.I,2022.04.01 10:35:15 EDT,11748,1,2888551248,
Jeffrey.U,2022.04.01 11:09:11 EDT,25715,1,3053219095,
Ryan.D,2022.04.01 11:45:33 EDT,25909,1,1329131700,
Noah.A,2022.04.01 12:22:03 EDT,12829,1,3224966849,
Zachary.W,2022.04.01 12:32:14 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Dennis.X,2022.04.01 12:46:14 EDT,9204,1,1706578068,
Russell.I,2022.04.01 13:11:42 EDT,18566,1,3968798122,
Amy.G,2022.04.01 13:46:36 EDT,13356,1,824385744,
Frances.P,2022.04.01 14:10:11 EDT,6064,1,1183359280,
Diane.M,2022.04.01 14:26:06 EDT,5963,1,675929902,
Patrick.K,2022.04.01 15:00:33 EDT,9769,1,2668910338,
Olivia.I,2022.04.01 15:39:33 EDT,4707,1,1274203728,
Christopher.B,2022.04.01 16:01:01 EDT,1897,1,275592366,
Arthur.U,2022.04.01 16:21:12 EDT,,0,,user not found
Zachary.W,2022.04.01 16:45:43 EDT,933,1,36307695,
Maria.B,2022.04.01 17:11:19 EDT,4183,1,652041857,
Charles.O,2022.04.01 17:27:03 EDT,5867,1,971874417,
Keith.E,2022.04.01 17:49:11 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Diane.M,2022.04.01 18:05:48 EDT,4961,1,818733674,
Joyce.Y,2022.04.01 18:18:22 EDT,6115,1,1120769430,
Noah.A,2022.04.01 18:28:40 EDT,2324,1,123753000,
Dennis.X,2022.04.01 18:47:14 EDT,1047,1,132030888,
Keith.E,2022.04.02 07:26:38 EDT,37556,1,3656264380,
Charles.O,2022.04.02 08:04:50 EDT,35009,1,7687941391,
Zachary.W,2022.04.02 08:39:06 EDT,4175,1,506665475,
Ryan.D,2022.04.02 09:02:04 EDT,3304,1,744566312,
Russell.I,2022.04.02 09:15:20 EDT,8279,1,1439511125,
Christopher.B,2022.04.02 09:30:36 EDT,30259,1,7513339959,
Maria.B,2022.04.02 09:50:42 EDT,6179,1,102701159,
Walter.M,2022.04.02 10:15:26 EDT,4806,1,78904908,
Olivia.I,2022.04.02 10:55:15 EDT,16049,1,518206161,
Frances.P,2022.04.02 11:19:21 EDT,23313,1,5121143397,
Joseph.B,2022.04.02 11:39:56 EDT,5422,1,955904022,
Ryan.D,2022.04.02 11:55:54 EDT,1794,1,314437968,
Vincent.W,2022.04.02 12:35:37 EDT,19963,1,5216791049,
Nancy.E,2022.04.02 12:57:13 EDT,2242,1,109458924,
Michelle.T,2022.04.02 13:11:01 EDT,14277,1,2797249779,
Roy.V,2022.04.02 13:30:46 EDT,7526,1,1829751224,
Diane.M,2022.04.02 13:57:58 EDT,3953,1,696253749,
Emma.I,2022.04.02 14:23:59 EDT,6825,1,453521250,
Russell.I,2022.04.02 14:58:00 EDT,6301,1,812350124,
Amy.G,2022.04.02 15:21:07 EDT,843,1,97863027,
Joseph.B,2022.04.02 15:33:43 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Dennis.X,2022.04.02 16:09:26 EDT,10149,1,1716601860,
Maria.B,2022.04.02 16:24:59 EDT,3749,1,231433268,
Zachary.W,2022.04.02 16:55:50 EDT,5181,1,222508407,
Adam.D,2022.04.02 17:32:45 EDT,,0,,user not found
Russell.I,2022.04.02 17:54:07 EDT,7210,1,1778476280,
Charles.O,2022.04.02 18:22:47 EDT,4320,1,743338080,
